Rank,Country,Bean Exports (1000 x 60kg Bags)
1,Brazil,43100.0
2,Vietnam,22000.0
3,Colombia,10700.0
4,Uganda,6300.0
5,Ethiopia,5605.0
6,Honduras,4715.0
7,India,4360.0
8,Indonesia,4285.0
9,Peru,3935.0
10,Guatemala,3151.0
11,Nicaragua,2072.0
12,Mexico,1434.0
13,Tanzania,1260.0
14,Costa Rica,1015.0
15,Cote d'Ivoire,990.0
16,Papua New Guinea,930.0
17,Kenya,803.0
18,China,640.0
19,El Salvador,435.0
20,Rwanda,360.0
21,Laos,330.0
22,Guinea,175.0
23,Cameroon,145.0
24,Burundi,125.0
25,Congo (Kinshasa),100.0
26,Togo,75.0
27,Ecuador,30.0
28,Bolivia,26.0
29,Sierra Leone,25.0
30,Angola,21.0
31,Jamaica,14.0
32,Dominican Republic,12.0
33,Cuba,10.0
34,Panama,1.0
35,Madagascar,1.0
